"File","RawBytes","OriginalBytes","DerivedBytes","RawDeltaBytes","NormalizedDerivedBytes","NormalizedDeltaBytes","RawDeltaPercent","NormalizedDeltaPercent","OriginalBpb","DerivedBpb","RawDeltaBpb","NormalizedDerivedBpb","NormalizedDeltaBpb","OriginalCompressSeconds","DerivedCompressSeconds","OriginalDecompressSeconds","DerivedDecompressSeconds","OriginalMemoryMiB","DerivedMemoryMiB","OriginalBlockTypes","DerivedBlockTypes","OriginalExactEqual","DerivedExactEqual","OriginalFirstDifference","DerivedFirstDifference","SourceSha256"
"dickens","32768","9502","9502","0","9500","-2","0","-0.021","2.319824","2.319824","0","2.319336","-0.000488","3.277","3.212","3.147","3.116","375.9","375.9","text - eol","text - eol","True","True","-1","-1","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31"
"mozilla","32768","5706","5708","2","5706","0","0.0351","0","1.393066","1.393555","0.000488","1.393066","0","4.517","4.651","4.519","4.759","1234.5","1234.5","default + text + default + dec-alpha + default","default + text + default + dec-alpha + default","True","True","-1","-1","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB"
"mr","32768","5117","5120","3","5118","1","0.0586","0.0195","1.249268","1.25","0.000732","1.249512","0.000244","4.109","4.065","3.958","3.955","558.4","558.4","default","default","True","True","-1","-1","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A"
"nci","32768","1270","1271","1","1269","-1","0.0787","-0.0787","0.310059","0.310303","0.000244","0.309814","-0.000244","2.296","2.315","2.282","2.323","375.8","375.8","text","text","True","True","-1","-1","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79"
"ooffice","32768","7218","7219","1","7217","-1","0.0139","-0.0139","1.762207","1.762451","0.000244","1.761963","-0.000244","5.355","5.164","5.281","5.131","558.5","558.5","default + x86/64 + default","default + x86/64 + default","True","True","-1","-1","2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C"
"osdb","32768","11371","11373","2","11371","0","0.0176","0","2.776123","2.776611","0.000488","2.776123","0","5.496","5.832","5.58","5.518","558.4","558.4","default","default","True","True","-1","-1","03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7"
"reymont","32768","5609","5608","-1","5606","-3","-0.0178","-0.0535","1.369385","1.369141","-0.000244","1.368652","-0.000732","2.943","2.953","2.908","2.919","375.8","375.8","text","text","True","True","-1","-1","9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87"
"samba","32768","7811","7813","2","7811","0","0.0256","0","1.906982","1.907471","0.000488","1.906982","0","3.146","3.394","3.255","3.303","673","673","tar + default","tar + default","True","True","-1","-1","9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12"
"sao","32768","18756","18736","-20","18734","-22","-0.1066","-0.1173","4.579102","4.574219","-0.004883","4.57373","-0.005371","5.706","5.694","5.64","5.629","558.4","558.4","default","record","True","True","-1","-1","95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD"
"webster","32768","9154","9159","5","9157","3","0.0546","0.0328","2.234863","2.236084","0.001221","2.235596","0.000732","3.163","3.24","3.212","3.117","375.9","375.9","text - eol","text - eol","True","True","-1","-1","774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E"
"x-ray","32768","14652","15274","622","15272","620","4.2452","4.2315","3.577148","3.729004","0.151855","3.728516","0.151367","5.048","4.304","5.056","4.22","558.4","558.5","default","record","True","True","-1","-1","10511AA63DFBD9C0DDBFEFE36068740103D4BA1116E214154A0772057D7E9314"
"xml","32768","1389","1391","2","1389","0","0.144","0","0.339111","0.3396","0.000488","0.339111","0","2.883","3.092","2.948","2.892","672.9","672.9","default + text","default + text","True","True","-1","-1","C2F7F129956F8D6FC3D0E3595D93F98D5270B6F5BC4AB5E70F45867822EFDD71"
