"File","RawBytes","SourceSha256","OriginalCodecSha256","CandidateCodecSha256","OriginalArchiveBytes","CandidateArchiveBytes","CandidateMinusOriginalBytes","CandidateMinusOriginalPercent","OriginalBpb","CandidateBpb","CandidateMinusOriginalBpb","OriginalCompressSeconds","CandidateCompressSeconds","OriginalDecompressSeconds","CandidateDecompressSeconds","OriginalCompressPeakMemoryMiB","CandidateCompressPeakMemoryMiB","OriginalDecompressPeakMemoryMiB","CandidateDecompressPeakMemoryMiB","OriginalReportedMemoryMiB","CandidateReportedMemoryMiB","OriginalBlockTypes","CandidateBlockTypes","CandidateRoutedSegments","CandidatePaqSegments","CandidateExternalSegments","CandidateMagicValid","OriginalCompressExit","OriginalDecompressExit","CandidateCompressExit","CandidateDecompressExit","OriginalExactEqual","CandidateExactEqual","OriginalFirstDifference","CandidateFirstDifference","OriginalArchiveSha256","CandidateArchiveSha256","OriginalRestoredSha256","CandidateRestoredSha256"
"dickens","32768","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","9502","9748","246","2.588929","2.319824","2.379883","0.060059","3.144","6.685","3.435","6.555","0","0","0","0","375.9","375.4","text - eol","text - eol","1","1","0","True","0","0","0","0","True","True","-1","-1","01B6307B23E8B99B10B27D8DFCB76DADB4A143FA195490D350BA5BDCDCD77592","AF4A32F2FC074D367DE6C2C11574E1ADB05BC8FC8FDE01DCD04B7477A1741A3A","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31","FC42DCB9849222C8704C9DCAE606D075B389B66244FB215035148D6409EC0B31"
"mozilla","32768","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","5706","6723","1017","17.823344","1.393066","1.641357","0.248291","5.781","11.622","5.766","11.735","0","0","0","0","1234.5","1229.9","default + text + default + dec-alpha + default","default + text + default + dec-alpha + default","5","5","0","True","0","0","0","0","True","True","-1","-1","904536A386BCDAB2ECDCA8B7D000C589165A704BEAF55DC2943C73A4192E51EA","E5D066B02BAFA03A34F76BE4293DB74C246318B3193D9D68F4853A796D1F7C0E","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB","9DDEEF36CA0CA55B72FE3376D005926DFF3400A2ADE6EAE18482D8017D8645DB"
"mr","32768","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","5117","5366","249","4.866132","1.249268","1.310059","0.060791","4.273","9.134","4.289","8.744","0","0","0","0","558.4","557.6","default","default","1","1","0","True","0","0","0","0","True","True","-1","-1","3B042EF221AF3529B5A5C9FE140C6B5576B84EFCEA233DB4A1F23A542B6D919C","56DEAFB4929ECC34852A6AC4FC4A6997E5106E82D97C7F33690A7BE3AC19FA08","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A","3BB287B0AF65F777AB00C14E362B4D1962087260556001BBEE0689AA10D9F76A"
"nci","32768","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","1270","1517","247","19.448819","0.310059","0.370361","0.060303","2.243","3.781","2.208","3.688","0","0","0","0","375.8","375.4","text","text","1","1","0","True","0","0","0","0","True","True","-1","-1","F895C63513AAFCA88D3D4E122855471717D22DB5A2B187A3E346E4CDA879F5AA","B9BADBB8C6463477818F4DE91F33AAF2DB1C3448C5E80CD11A2999D1B8081603","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79","0D3034FE8B0E573DE1439ED98CE409B83B13E5895085C9BFB0BF980F4962FB79"
"ooffice","32768","2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","7218","7848","630","8.72818","1.762207","1.916016","0.153809","5.054","11.371","5.048","11.371","0","0","0","0","558.5","557.6","default + x86/64 + default","default + x86/64 + default","3","3","0","True","0","0","0","0","True","True","-1","-1","411B72E383EC66DEAD24D7FC82DE56C84B3BD95DE4B5D7B3B5CDB59F12965CB4","52C4C48FC0DB4F8F82EDBA9A7D052E9F681EB8E710261082A8CB6ACDD3DA4390","2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C","2ACF9B4CAAEAC5814CDFEF0FA48A5ECE857C847DBDB7B44EEAB95CA3C098921C"
"osdb","32768","03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","11371","11619","248","2.180987","2.776123","2.83667","0.060547","5.24","13.337","5.324","14.001","0","0","0","0","558.4","557.6","default","default","1","1","0","True","0","0","0","0","True","True","-1","-1","338F3EAAEA9D19D3695830C29F6813F9905FF063563140417CB1D09842B6A172","C840D3E6AA991590ADCA452A118D1EEE8788CD655C83171E40538485710FB0FF","03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7","03B2C20B777682CD960BCD893D7A4463161D9C0200FD1708B2EFAE32A259D0B7"
"reymont","32768","9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","5609","5854","245","4.36798","1.369385","1.429199","0.059814","3.11","5.578","3.069","5.597","0","0","0","0","375.8","375.4","text","text","1","1","0","True","0","0","0","0","True","True","-1","-1","E34F3649E5BE42604717245FA99289102A5B35439508FB60460D576B643765CE","C73402795892A40054BBE0CF63FBA1230B974394A16C322C583CB2DEF178E814","9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87","9D5E4B9340C2260DAE7DDB01B3EDA58236FF2DE5E1FF4D56767AA840B6FB1A87"
"samba","32768","9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","7811","8251","440","5.633082","1.906982","2.014404","0.107422","3.529","6.846","3.374","6.703","0","0","0","0","673","671.6","tar + default","tar + default","2","2","0","True","0","0","0","0","True","True","-1","-1","4623419B7897B689E473D99648813C5C5C63B845406A4FD70CD40BE83875DCB0","6F63890962AA0202BEB5264D77E1EC920A617D543428F041A1413B2D8765987D","9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12","9C4F5BEE544E4531E4946E62F796987418B4526911C34877EF282F14DD57AD12"
"sao","32768","95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","18756","19007","251","1.338238","4.579102","4.640381","0.061279","6.295","15.726","6.054","16.325","0","0","0","0","558.4","557.6","default","default","1","1","0","True","0","0","0","0","True","True","-1","-1","9899E6E400B9DB938CABA7854F6649DF9CA95E346DC6E5EE00094E85BAC396B4","62B16A6CDBA03FCE34A86C66088E0320273B042CD04E4F7FA7D9FDB9ADB3CBD8","95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD","95677430CAD4F000506BC5EE22815C3F4E13D64B477ED506B78D5D9ACFB50CCD"
"webster","32768","774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E","F79343702F596A4FA6C7CC3E25F2FA9C05199EAF11F06655B065F687E5F42533","08E24EA1B331B25A834BDD15EC96FEE8E6696291D1E492816FCFEF11E129C7E9","9154","9403","249","2.720122","2.234863","2.295654","0.060791","3.14","6.493","3.182","6.614","0","0","0","0","375.9","375.4","text - eol","text - eol","1","1","0","True","0","0","0","0","True","True","-1","-1","8F87B4BEBEE74D864B8FCA63B94DADB4FBE10CB7FA3C667CC81D71CDC0793F3D","5FE8E58F9ED3A2D1102AE53C6CCA7138711494D8C7D2ACDE78F9B6AA376B5979","774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E","774D224695AF4057353F72602BB96CD2AFEEA059AC7737535645F11596FCA85E"
